,budget,instance size,method,pool sampling,train pool size,sampling setting,train objective mean,test objective mean,test objective sem,test vs train objective mean,elapsed time
0,5000,70,deterministic,average,1,,0.36519429601289777,3.0821865373211343,,7.439853992714824,6.733709812164307
1,5000,100,deterministic,average,1,,0.5346459075467287,7.504823853585334,,13.036998595990195,10.734934091567991
2,5000,150,deterministic,average,1,,0.3774612675215743,3.7893958649095554,,9.039164785809362,12.45934510231018
3,5000,200,deterministic,average,1,,0.30271135231688784,2.0402204798252535,,5.739821497310368,7.719645977020264
4,5000,70,seqdif,descriptive,100,,3.5392897107237307,3.570657347310096,,0.008862692559844478,4.135272026062012
5,5000,100,seqdif,descriptive,100,,9.365602287781694,9.548711408535455,,0.01955123815076407,6.120483875274658
6,5000,150,seqdif,descriptive,100,,4.6753757667720075,4.582653577789071,,-0.019832029254614074,10.571139812469482
7,5000,200,seqdif,descriptive,100,,4.61280988611073,4.634295434257266,,0.004657800489725321,13.137810945510864
8,5000,70,seqpre,descriptive,100,updates,2.079596024995863,2.109422629497358,,0.014342499284953347,4.593398094177246
9,5000,100,seqpre,descriptive,100,updates,6.032032796547752,6.139140416664544,,0.017756471778152715,7.129408121109009
10,5000,150,seqpre,descriptive,100,updates,3.1167703161150895,3.072694002837829,,-0.014141662300031037,9.351987838745115
11,5000,200,seqpre,descriptive,100,updates,3.298286946716499,3.328038919480689,,0.00902043189232179,12.945255279541016
